Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,image_url
i'm yours sped up,i'm yours,Isabel LaRosa,2022-10-28,USRC12203969,"4,410",19.9,"223,341,848","34,131","11,352,526",67.0,"12,260,201","167,404","300,000","79,965,598","589,269,507",0,3.0,262,397,4.0,"30,837",15.0,"1,615,467",877,0,"1,622,902",0.0,0,https://i.scdn.co/image/ab67616d0000b2737f73e6587c8ced7cad6e1e02
"Ruaan (From ""Tiger 3"")","Ruaan (From ""Tiger 3"")",Pritam,2023-11-06,INY092300063,"4,419",19.9,"25,820,250","1,732","2,016,667",0.0,"88,129,485","562,556",0,4,490,"87,015,787",0.0,321,0,0.0,0,17.0,352,0,0,"57,373",0.0,0,https://i.scdn.co/image/ab67616d0000b273a190c0569b563cdfe3ef8fea
Summer of Love (Shawn Mendes & Tainy),Summer Of Love,Shawn Mendes,2021-08-20,USUM72114707,"4,406",19.9,"392,730,501","43,113","32,173,215",65.0,"56,656,911","851,302","127,022","24,026,650","284,633,385","275,183,518",52.0,"107,015",39,21.0,"192,052",14.0,"12,162,884","2,574",0,"1,619,318",0.0,0,https://i.scdn.co/image/ab67616d0000b273a111c87c210cc9bff93948bd
God of Music,SEVENTEEN 11th Mini Album 'SEVENTEENTH HEAVEN',SEVENTEEN,2023-10-23,USA2P2345251,"4,417",19.9,"64,530,857","5,436","6,224,831",0.0,"68,842,793","1,133,609","7,921","35,053,106","148,059,935","563,214,967",9.0,"1,597",7,7.0,"248,186",24.0,"146,890",105,0,"136,977",0.0,0,https://i.scdn.co/image/ab67616d0000b273d07a54abba4f5060c2486e3c
Embarrassed (feat. Travis Scott),Embarrassed (feat. Travis Scott),Don Toliver,2023-02-23,USAT22302147,"4,418",19.9,"96,288,883","37,394","7,850,736",63.0,"8,545,326","113,402","1,928","593,460","2,917,500","184,211,408",10.0,278,4,6.0,"31,909",0.0,"527,188",363,"2,021,849","190,951",0.0,1,https://i.scdn.co/image/ab67616d0000b273f5e27c2aa0b110c2b6611577
Carrying Your Love,Carrying Your Love,David Morris,2022-06-01,QZEQU2246860,"4,399",19.9,"33,278,200","10,186","1,379,624",50.0,"4,962,879","74,982","1,901,626","318,927,368","2,885,085,148","133,358",3.0,395,534,0.0,0,0.0,"5,082,176","2,540",0,"255,786",0.0,0,https://i.scdn.co/image/ab67616d0000b27353f39c5634a9b7393743630a
Dueles,Un besito m,Jesse & Joy,2015-12-04,MXF151500224,"4,415",19.9,"563,467,499","38,743","25,276,787",72.0,"1,000,321,872","4,630,509","332,335","50,424,679","490,277,819","2,140,584",22.0,"4,626",8,25.0,"233,573",9.0,"9,336,374","5,058",0,"1,934,884",0.0,0,https://i.scdn.co/image/ab67616d0000b273d01f410ddd5776121c42bf59
Tipo Hollywood,Tipo Holywood,Mc Ws da leste,2023-09-19,BC8182300165,"4,412",19.9,"100,530,093","14,992","19,070,923",0.0,"40,396,492","385,259",162,"30,440","300,988","97,141,495",0.0,1,0,24.0,"2,819,733",0.0,0,0,0,"73,406",0.0,1,https://i.scdn.co/image/ab67616d0000b27302df05361a8bdeba52d643f1
Oye,Oye,LuckReaper,2024-05-15,NL9KR2313387,"4,879",19.9,"47,151,307",0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1,https://i.scdn.co/image/ab67616d0000b2731a3d8ab0f74bb49eb93d25a5
She Don't Give a Fo,"Trapgentina, Vol. 1",Duki,2017-12-07,QZ5FN1767793,"4,409",19.9,"500,565,437","74,725","14,234,889",70.0,"644,380,652","4,455,611","43,604","35,536,108","217,482,856","53,428",3.0,"1,789",0,7.0,"45,112",3.0,"604,004","2,295",0,"995,726",0.0,0,https://i.scdn.co/image/ab67616d0000b2733ba92b218fbc97d244235a21
085 - Ao Vivo,Pode Cr (Ao V,MC Rogerinho,2023-01-12,US7VG2308218,"4,401",19.9,"126,063,862","10,150","9,712,919",58.0,"129,157,973","401,990","313,900","50,275,998","650,000,898","2,179,962",4.0,56,0,13.0,"567,142",3.0,0,0,0,"97,522",0.0,1,https://i.scdn.co/image/ab67616d0000b273d5459416eb7f5d035b9d2e25
MODELITO,PARAISO,Mora,2022-11-03,QMDA62297378,"4,402",19.9,"216,298,810","39,605","13,944,608",72.0,"38,256,899","252,379","31,347","6,218,163","46,029,571","3,493,900",15.0,"5,130",0,6.0,"47,284",14.0,"444,856",485,0,"360,437",0.0,1,https://i.scdn.co/image/ab67616d0000b273076ef0fed51ff7a4911459e9
Would You (go to bed with me?),Would You (go to bed with me?),Campbell,2023-07-21,GBAHS2300598,"4,405",19.9,"73,821,370","23,298","16,167,031",71.0,"12,303,071","190,206",287,"147,268","2,237,426","57,803,125",8.0,"3,622",0,10.0,"88,435",8.0,0,0,"898,654","241,298",0.0,0,https://i.scdn.co/image/ab67616d0000b27361fd4eff8bb3be13fadf66d9
Easy,The Plan,DaniLeigh,2018-11-30,USUM71816809,"4,403",19.9,"41,808,541","7,802","1,222,888",46.0,"491,827,513","3,638,561","28,899","4,564,091","39,966,761","26,034,042",4.0,5,0,2.0,"2,532",5.0,"172,241,744","37,508","15,875,196","1,458,244",0.0,0,https://i.scdn.co/image/ab67616d0000b2731b94534863867700c8967cff
UNTOUCHABLE,BORN TO BE,ITZY,2024-01-08,US5TA2300214,"4,422",19.9,"41,904,754","3,228","13,953,458",11.0,"48,108,686","927,978",0,"3,474,975","17,167,500","535,050,886",11.0,"1,075",5,4.0,"186,388",0.0,"184,920",247,0,"87,983",0.0,0,https://i.scdn.co/image/ab67616d0000b273470d0ba5f707b141d1337cf2
Dj Terompet Pemersatu Bangsa,Dj Terompet Pemersatu Bangsa,PAMOKHOL ID,2022-10-19,SGB502272288,"4,416",19.9,"2,347,433",588,"62,520",25.0,0,0,"1,901,402","71,781,810","1,652,854,603",0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,https://i.scdn.co/image/ab67616d0000b273e48deb60d3842d38063f2389
YOSEMITE,ASTROWORLD,Travis Scott,2018-08-03,USSM11806669,"4,408",19.9,"646,744,185","131,213","18,096,403",68.0,"161,578,216","1,576,117","8,999","3,009,068","25,055,075","32,615,566",44.0,"1,231",47,28.0,"137,307",10.0,"58,077,529","20,858",0,"1,564,987",0.0,1,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3
Demasiadas Mujeres,Demasiadas Mujeres,C. Tangana,2020-10-08,ES5022000710,"4,423",19.9,"417,168,757","75,509","12,398,561",68.0,"135,732,676","1,275,450","239,433","209,313,809","2,112,625,816","39,566,186",50.0,"7,224",0,15.0,"25,276",13.0,"94,511",549,0,"1,294,599",0.0,0,https://i.scdn.co/image/ab67616d0000b273a408c78e231f716383a58eb3
T-Shirt,T-Shirt,Migos,2017-01-13,QMCE31600872,"4,420",19.9,"476,546,062","81,971","14,843,218",59.0,"411,585,032","2,754,105","112,983","12,732,471","81,330,455","191,370,605",130.0,323,15,9.0,"72,746",6.0,"261,193,437","81,956",0,"2,262,525",0.0,1,https://i.scdn.co/image/ab67616d0000b2736275aeac316378b0dd4f31fd
Pretty Savage,THE ALBUM,BLACKPINK,2020-10-02,KRA402000133,"4,421",19.9,"435,823,355","34,658","14,268,149",64.0,"284,536,285","3,411,827","565,243","137,186,669","1,021,702,238",28,27.0,"1,664",0,7.0,"116,569",8.0,"4,427,847","6,097",0,"733,704",0.0,0,https://i.scdn.co/image/ab67616d0000b2737dd8f95320e8ef08aa121dfe
